id, ratioMA5_MA30,ratio5, ratio3
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.00,1.01,1.00
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.00,1.01,1.01,0.99
20,1.01,1.01,1.02,1.00
20,1.01,1.01,1.02,1.00
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.01,1.01,1.02,1.00
20,1.01,1.01,1.02,1.00
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.01,1.01,1.02,1.00
20,1.00,1.01,1.02,0.99
20,1.01,1.01,1.02,1.00
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
20,1.00,1.01,1.02,0.99
